Azinhaga Nuno Antunes 07,Casa 8,0947-589,Guimarães,Viseu
Avenida Luísa Silva 182,Casa 2,2394-740,Vizela,Leiria
N579-2 2,Lote 22,8459-501,Vale de Cambra,Portalegre
N178-1 796,Bloco 71,0824-465,Moura,Lisboa
N9 1,Lote 63,1200-360,Póvoa de Varzim,Leiria
N311 118,Apto. 390,2000-070,Torres Vedras,Bragança
Rua Aurora Freitas 386,Apto. 455,6422-687,Gouveia,Braga
N009 95,Lote 54,5460-948,Reguengos de Monsaraz,Setúbal
N8 0,Lote 97,7105-500,Ponta Delgada,Beja
N2 959,Casa 2,9760-589,Elvas,Viseu
Quinta Francisca Albuquerque 56,Bloco 22,5146-064,São Mamede de Infesta,Leiria
N5 03,Lote 62,2901-353,Vila Real de Santo António,Porto
N258-6 17,Casa 7,2122-844,Machico,Guarda
N22 36,Lote 42,5683-033,Amarante,Aveiro
N395-0 87,Bloco 81,0652-798,Mangualde,Guarda
Azinhaga Sebastião Abreu 4,Casa 8,8091-418,Fundão,Santarém
N41 5366,Bloco 62,0491-508,Serpa,Coimbra
N188-6 21,Lote 32,3187-095,Tondela,Vila Real
N7 977,Casa 3,3107-850,Esmoriz,Coimbra
N40 92,Bloco 03,2857-686,Fiães,Viseu
N02 6192,Casa 6,2258-704,Quarteira,Vila Real
Azinhaga David Pacheco 697,Bloco 20,8463-656,Macedo de Cavaleiros,Santarém
N693 87,Casa 1,5979-053,Vizela,Braga
N884 90,Bloco 02,3211-829,Oliveira do Bairro,Vila Real
N841-2 72,Bloco 98,6674-272,São Salvador de Lordelo,Setúbal
N130-0 36,Bloco 37,4395-752,Alfena,Portalegre
N77 28,Apto. 919,9636-219,Silves,Leiria
N119-3 442,Bloco 13,3248-461,Estremoz,Coimbra
Beco Leonardo Garcia 2694,Lote 79,7306-944,Miranda do Douro,Coimbra
N581 400,Bloco 79,8037-088,Sabugal,Santarém
N886 8588,Lote 15,3933-895,Fafe,Guarda
N57 5356,Bloco 06,9951-272,Abrantes,Beja
N11 107,Apto. 814,1769-101,Santiago do Cacém,Santarém
Escadas Xavier Magalhães 882,Apto. 868,7364-817,Aveiro,Aveiro
N307-6 9,Apto. 805,5845-439,Serpa,Braga
N526 088,Lote 66,9279-297,Vila Nova de Foz Côa,Viseu
