teacher,total,students
Stephanie Miranda,18,Katherine Martin|Holly Anderson|Kimberly Cannon|Jason Zhang|Robert Johnson|Dennis Walker|Hannah Berry|Bruce Dillon|Joan Boone|Joel Stephens|Holly Anderson|Matthew Barnes|Shannon Molina|Joshua Black|Mrs. Erica Martinez|Eugene Torres|Hannah Berry|Angela Thompson
Stacey Hernandez,18,Eugene Torres|Arthur Brandt|Mrs. Erica Martinez|Cynthia Solomon|Robert Johnson|Dennis Walker|Eugene Torres|Holly Anderson|David Johnson|Brady Miller|Tim Sanchez|Cathy Allen|Sabrina Moore|Mary Lewis|Jessica Harris|Tricia Gibbs|Annette Haynes|Bryan Finley
Carl Gomez,18,Tim Sanchez|Antonio Simmons|David Johnson|Richard Sanchez|Robert Johnson|Robert Warren|Joshua Black|Julian Adams|Jessica Harris|David Larsen|Mario Wright|Shelby Soto|James Wheeler|Andrew Cross|Arthur Brandt|Melanie Mcmillan|Katie Fitzpatrick|Mrs. Erica Martinez
Mrs. Deanna Washington DVM,17,Shannon Molina|Nicholas Willis|Jesse Patterson|Brian Hall|Jane Anderson|Erin Bishop|Brenda Williams|Richard Peterson|Emily Davenport|Eugene Torres|Robert Warren|Angela Thompson|Brady Miller|Tiffany Solomon|Joshua Black|Joseph Morris|Cynthia Solomon
Diane Atkins,16,Andrew Cross|Robert Johnson|Kaylee Gonzalez|Robert Warren|Jessica Harris|David Johnson|Eugene Torres|Joan Boone|Brady Miller|Katie Fitzpatrick|Katherine Martin|Barbara Hendricks|Richard Sanchez|Tricia Gibbs|James Wheeler|Eugene Torres
Richard Bryant,16,Molly Miller|Victoria Brady|Mario Wright|Holly Anderson|Julia Francis|Matthew Rose|Kimberly Cannon|Kaylee Gonzalez|Mrs. Erica Martinez|Scott Collins|Andrew Cross|Nicholas Willis|Matthew Nelson|Scott Collins|Mary Lewis|Angela Thompson
Deborah Jones,15,Dennis Walker|Mario Wright|Angela Perkins|Keith Phelps|Jane Anderson|Victoria Brady|Jennifer Singleton|Richard Sanchez|Hannah Berry|Sabrina Moore|James Smith|Mrs. Erica Martinez|Melanie Mcmillan|Gary Rhodes|Eugene Torres
Mrs. Darlene Anderson,14,Bruce Dillon|Molly Miller|Tricia Gibbs|James Wheeler|Joseph Morris|Katelyn Perez|Sabrina Moore|Jesse Patterson|Daniel Parker|Jane Anderson|Crystal Trevino|Barbara Hendricks|Shannon Hodges|Shannon Molina
Anthony Walsh,14,Jason Zhang|Joan Boone|Matthew Barnes|Angela Perkins|Frank Love|April Brown|Kathy Golden|Barbara Hendricks|David Larsen|Eugene Torres|James Wheeler|Meghan Robbins|Cathy Allen|Douglas Moore
April Brown,14,Robert Johnson|Aaron Guzman|Brian Hall|Richard Sanchez|Joseph Morris|William Hawkins|Albert Murphy|Douglas Moore|Hannah Berry|Scott Strong|Melanie Mcmillan|Shelby Soto|Julian Adams|Joan Boone
Jessica Jones,14,Douglas Moore|Brian Hall|April Brown|Bryan Flynn|Scott Strong|Denise Moore|Erin Bishop|Mario Wright|Holly Anderson|Katherine Martin|Shirley Scott|Sabrina Moore|Barbara Hendricks|Shannon Hodges
Rachel Wu,14,William Martinez PhD|Matthew Nelson|Daniel Parker|Andrew Cross|Alan Miller|Holly Anderson|Tim Sanchez|Jane Anderson|Joel Stephens|Kathy Golden|Gina Evans|Richard Sanchez|Denise Moore|Bryan Flynn
Paul Schaefer,14,Joel Stephens|Julian Adams|Maria Reese|Annette Haynes|Rebecca Morales|Tiffany Solomon|Matthew Rose|Sabrina Moore|Tricia Gibbs|Julia Francis|Holly Anderson|Katelyn Perez|Jennifer Singleton|Arthur Brandt
Joseph Thompson,13,Jacqueline Anderson|Mary Lewis|Katherine Martin|Holly Anderson|Jane Schmitt|Antonio Simmons|Shannon Hodges|Matthew Barnes|Shelby Soto|Arthur Brandt|David Larsen|Mrs. Erica Martinez|Cathy Allen
Kyle Garcia,13,Angela Thompson|Holly Anderson|Bethany Munoz|Sabrina Moore|Antonio Simmons|Brian Hall|Jane Anderson|William Hawkins|Julia Francis|William Martinez PhD|Frank Love|Brenda Graham|Tricia Gibbs
Brandi Patton,13,Antonio Simmons|David Johnson|Dennis Walker|Angela Thompson|Jennifer Singleton|William Martinez PhD|Holly Anderson|Bryan Finley|Andrew Cross|Sabrina Moore|Douglas Moore|Annette Haynes|Robert Johnson
Erin Douglas,13,Joshua Black|Arthur Brandt|Maria Reese|William Martinez PhD|Denise Moore|James Smith|Richard Peterson|Matthew Barnes|Kimberly Cannon|Antonio Simmons|Brian Hall|Cathy Allen|Shannon Hodges
Becky Mcgee,12,Holly Anderson|Brenda Williams|Douglas Moore|Joel Stephens|Barbara Hendricks|Cynthia Solomon|William Martinez PhD|Robert Johnson|Holly Anderson|Cathy Allen|Albert Murphy|Emily Davenport
Carly Lawrence,12,Angela Thompson|Shannon Hodges|Matthew Nelson|Bryan Flynn|Barbara Hendricks|Julian Adams|Kaylee Gonzalez|Douglas Moore|Holly Anderson|Robert Johnson|Crystal Trevino|Antonio Lopez
Diana Hamilton,12,Benjamin Wilson|Annette Haynes|Jessica Harris|Aaron Guzman|William Martinez PhD|James Wheeler|Holly Anderson|Matthew Nelson|Erin Bishop|Aaron Guzman|Julia Francis|David Larsen
Heather Fisher,12,Toni Foster|Cathy Allen|Holly Anderson|Kimberly Cannon|Julia Francis|Arthur Brandt|Bryan Flynn|Richard Peterson|Molly Miller|James Wheeler|Crystal Trevino|Richard Peterson
Tiffany Solomon,12,Kaylee Gonzalez|Matthew Rose|Scott Collins|Matthew Nelson|Melanie Griffin|Benjamin Wilson|Antonio Lopez|Meghan Robbins|Denise Moore|Jason Zhang|Katie Fitzpatrick|Angela Thompson
Chad Wood,12,Brenda Williams|Julia Francis|Angela Perkins|Brady Miller|Annette Haynes|Richard Sanchez|Robert Johnson|Jason Zhang|Angela Thompson|Robert Johnson|Douglas Moore|Erin Bishop
Carlos Thomas,12,Jessica Harris|Brady Miller|Joseph Morris|Eugene Torres|Julia Francis|Arthur Brandt|Aaron Guzman|Antonio Lopez|Shannon Hodges|James Wheeler|Molly Miller|Meghan Robbins
David Johnson,12,William Hawkins|Cynthia Hunt|Meghan Robbins|Bryan Finley|Robert Warren|Kaylee Gonzalez|Richard Peterson|David Larsen|Daniel Parker|Crystal Trevino|Bruce Dillon|Arthur Brandt
Jorge Jackson,12,Alan Miller|Sergio Norton|Brian Hall|Toni Foster|Sabrina Moore|Jane Schmitt|Holly Anderson|Julie Sheppard|James Smith|Aaron Guzman|William Hawkins|Denise Moore
James Bishop,12,William Hawkins|Joseph Morris|David Larsen|Scott Collins|Katelyn Perez|Denise Moore|Tiffany Solomon|William Martinez PhD|Robert Johnson|Mrs. Erica Martinez|Shannon Molina|Brian Hall
Angelica Henry,12,James Wheeler|Arthur Brandt|Cynthia Hunt|Robert Warren|Bethany Munoz|Jessica Harris|Brenda Graham|Andrew Cross|Joshua Black|Joel Stephens|Holly Anderson|Matthew Nelson
Victoria Brady,11,Mary Moore|Jane Schmitt|Brenda Williams|Joseph Morris|Mary Moore|Matthew Rose|Andrew Cross|Joel Stephens|Katie Fitzpatrick|Julian Adams|Meghan Robbins
Karen Rodriguez,11,Katie Andrews|Julia Francis|Richard Peterson|Sabrina Moore|James Smith|Kathy Golden|Victoria Brady|Douglas Moore|Aaron Guzman|Crystal Trevino|Eugene Torres
Carrie Santos,11,April Brown|Sergio Norton|Joel Stephens|William Martinez PhD|Scott Strong|Kimberly Cannon|Dennis Walker|Angela Thompson|Albert Murphy|Katherine Martin|Andrew Cross
Matthew Morgan,11,Brady Miller|Joan Boone|Hannah Berry|Shannon Molina|Matthew Rose|Joshua Black|Julian Adams|Nicholas Willis|Richard Sanchez|Mary Moore|Emily Davenport
Jamie Willis,11,James Smith|Mary Lewis|Mario Wright|Antonio Simmons|Albert Murphy|Cynthia Solomon|Melanie Griffin|Richard Sanchez|Bryan Finley|Victoria Brady|Matthew Rose
Shirley Scott,11,Matthew Barnes|David Johnson|Joseph Morris|Douglas Moore|Robert Johnson|Jacqueline Anderson|Emily Davenport|Joan Boone|Robert Johnson|Tim Sanchez|Bethany Munoz
Christopher Cook,11,Cathy Allen|Joshua Black|Richard Peterson|Frank Love|Joan Boone|Matthew Rose|Tricia Gibbs|Mrs. Erica Martinez|Joseph Morris|Bruce Dillon|Crystal Trevino
Brittany Jackson,11,Joel Stephens|Shelby Soto|Toni Foster|Joan Boone|Mary Lewis|Kathy Golden|Keith Phelps|Crystal Trevino|Arthur Brandt|Andrew Cross|Robert Johnson
David Larsen,11,Angela Thompson|Scott Collins|Arthur Brandt|Sergio Norton|Julia Francis|Crystal Trevino|Gary Rhodes|Aaron Guzman|Brian Hall|Richard Sanchez|Katelyn Perez
Morgan Wade,11,Angela Thompson|Keith Phelps|Matthew Nelson|Joshua Black|Mary Lewis|Aaron Guzman|Mario Wright|Molly Miller|Bethany Munoz|Victoria Brady|Angela Thompson
Gregory Harper,11,Katie Fitzpatrick|Cynthia Solomon|Katherine Martin|Shannon Hodges|Antonio Simmons|Sabrina Moore|Alan Miller|Bryan Flynn|Erin Bishop|Meghan Robbins|David Johnson
Kimberly Ellis,10,Matthew Rose|Brian Hall|Katie Andrews|Mrs. Erica Martinez|Julie Sheppard|Joan Boone|Matthew Nelson|William Hawkins|James Wheeler|Daniel Parker
Alejandra Middleton,10,Molly Miller|Julie Sheppard|Angela Thompson|Barbara Hendricks|Robert Johnson|Cynthia Hunt|Joan Boone|Molly Miller|Antonio Simmons|Tim Sanchez
Kristen Pierce,10,William Hawkins|Holly Anderson|Holly Anderson|Cynthia Solomon|Bryan Finley|Angela Thompson|David Larsen|Scott Strong|Antonio Simmons|Katie Fitzpatrick
Jennifer Rodriguez,10,Mary Moore|Sabrina Moore|Julia Francis|Holly Anderson|Kathy Golden|Frank Love|Jennifer Singleton|Cynthia Solomon|Joseph Morris|Katherine Martin
Mary Becker,10,Maria Reese|Mary Lewis|Rebecca Morales|Meghan Robbins|David Johnson|Shannon Molina|Angela Thompson|Matthew Barnes|Albert Murphy|Joan Boone
Michael Gonzales,10,Molly Miller|Arthur Brandt|Bruce Dillon|Shannon Hodges|Joshua Black|Meghan Robbins|April Brown|Katie Andrews|Keith Phelps|Victoria Brady
Sarah Villarreal,10,Antonio Lopez|Gina Evans|Jane Anderson|Sergio Norton|Bethany Munoz|William Martinez PhD|Emily Davenport|Tiffany Solomon|Albert Murphy|Robert Johnson
Robert Padilla,10,Holly Anderson|Maria Reese|Jesse Patterson|Julian Adams|Brenda Graham|Antonio Lopez|Cynthia Solomon|Julie Sheppard|Brady Miller|Erin Bishop
Jessica King,10,Shannon Molina|Toni Foster|Joseph Morris|Robert Johnson|Meghan Robbins|Jessica Harris|Jacqueline Anderson|Annette Haynes|Julia Francis|Richard Sanchez
Matthew Jones,10,Jane Schmitt|Matthew Nelson|Maria Reese|Cynthia Hunt|Mrs. Erica Martinez|Annette Haynes|Melanie Mcmillan|Mary Lewis|Brenda Graham|Mary Moore
Ann Wallace,10,Scott Collins|Eugene Torres|Robert Warren|Albert Murphy|Douglas Moore|Joshua Black|Shannon Hodges|Robert Johnson|Sabrina Moore|Jane Anderson
Jordan Wallace,10,James Wheeler|Robert Johnson|Albert Murphy|Angela Thompson|Eugene Torres|Angela Thompson|Jason Zhang|Tricia Gibbs|William Martinez PhD|Erin Bishop
Diane Atkins,9,Joseph Morris|Joan Boone|Melanie Griffin|Julia Francis|Katie Fitzpatrick|Melanie Mcmillan|Angela Perkins|Brenda Graham|Kathy Golden
Traci Smith,9,Shirley Scott|Shannon Molina|Mary Lewis|Tricia Gibbs|Daniel Parker|Joan Boone|Jane Anderson|Cynthia Solomon|Victoria Brady
Sarah Villarreal,9,Molly Miller|Alan Miller|Bryan Flynn|Sergio Norton|Scott Collins|Jane Anderson|Brenda Williams|Sabrina Moore|Crystal Trevino
Rhonda Bowman,9,Sabrina Moore|David Larsen|Jane Anderson|James Wheeler|Douglas Moore|Shannon Hodges|Toni Foster|Antonio Lopez|Gary Rhodes
Jill Lawrence,9,Bryan Flynn|Aaron Guzman|Robert Warren|William Martinez PhD|Jennifer Singleton|Julie Sheppard|Joel Stephens|Kaylee Gonzalez|James Smith
Suzanne Wilson,9,Eugene Torres|Holly Anderson|James Wheeler|April Brown|Antonio Simmons|Cynthia Solomon|Jane Schmitt|Joel Stephens|William Hawkins
Brooke Williams,9,William Martinez PhD|Mrs. Erica Martinez|Sabrina Moore|Katelyn Perez|Joel Stephens|William Hawkins|Robert Johnson|Albert Murphy|Richard Sanchez
Karen Tran,9,David Larsen|Richard Sanchez|Nicholas Willis|Joan Boone|James Wheeler|Barbara Hendricks|Meghan Robbins|Robert Johnson|Shirley Scott
Patrick Berry,9,Aaron Guzman|Joshua Black|Douglas Moore|Joshua Black|Albert Murphy|Victoria Brady|Mario Wright|Sabrina Moore|Richard Peterson
Michael Gonzales,9,Tim Sanchez|Victoria Brady|Shannon Molina|David Larsen|Richard Sanchez|Antonio Lopez|Mario Wright|James Wheeler|Robert Johnson
