name,birthdate,credits,gpa,teachers
Kaylee Gonzalez,2008-03-08T13:34:04.076,18,15.97157,Joan Boone|Jill Lawrence|David Johnson|Tiffany Solomon|Jordan Humphrey|Willie Orr
Jennifer Singleton,1936-05-04T13:34:03.630,175,13.67813,Heather Elliott|Brett Knight|Jennifer Rodriguez|Jill Lawrence|Paul Schaefer|Shawn Williams|Brandi Patton|Deborah Jones|Donna Harris
Melanie Mcmillan,1966-05-15T13:34:03.337,108,13.662063,Deborah Jones|Matthew Jones|April Brown|Gail Alexander|Brianna Pena|Carl Gomez|Scott Collins|Diane Atkins
Nicholas Willis,1968-03-02T13:34:03.909,104,14.570506,Karen Tran|Mrs. Deanna Washington DVM|Richard Bryant|Matthew Morgan|John Ward
Jacqueline Anderson,1933-03-07T13:34:03.392,180,14.3233185,Jessica King|Shawn Williams|Mario Green|Joseph Thompson|Brianna Pena|Shirley Scott
Joshua Black,1910-08-11T13:34:04.544,180,14.464281,Christopher Cook|Patrick Berry|Ann Wallace|Morgan Wade|Angelica Henry|Patrick Berry|Michael Gonzales|Troy Robinson|Reginald Hughes|Erin Douglas|Joseph Krause|Matthew Morgan|Mrs. Deanna Washington DVM|Stephanie Miranda|Carl Gomez
Richard Peterson,1913-04-26T13:34:03.985,75,13.74538,Christopher Cook|Heather Fisher|Erin Douglas|Patrick Berry|Mrs. Deanna Washington DVM|David Johnson|Karen Rodriguez|Heather Fisher|Adam Anderson
Shirley Scott,1947-03-19T13:34:05.943,33,12.114278,Traci Smith|Karen Tran|Jessica Jones|Taylor Dougherty
Bryan Flynn,1959-03-20T13:34:05.512,180,13.734855,Jill Lawrence|Carly Lawrence|Jessica Jones|Brett Knight|Sarah Villarreal|Rachel Wu|Gregory Harper|Troy Robinson|Heather Fisher
Douglas Moore,1913-05-13T13:34:05.617,8,9.987052,Paula Ramirez|Karen Rodriguez|Carly Lawrence|Rhonda Bowman|Francis Hahn|Brandi Patton|Patrick Berry|Jessica Jones|Anna Page|Shirley Scott|Chad Wood|April Brown|Anthony Walsh|Becky Mcgee|Ann Wallace
Sabrina Moore,1988-10-23T13:34:05.438,150,13.665391,Karen Rodriguez|Jennifer Rodriguez|Joel Hammond|Ann Wallace|Rhonda Bowman|Paul Schaefer|Stacey Hernandez|Gregory Harper|Kyle Garcia|Brooke Williams|Jorge Jackson|Deborah Jones|Sarah Villarreal|Brandi Patton|Mrs. Darlene Anderson|Jessica Jones|Theodore Reyes|Patrick Berry|Vanessa Hill|Adam Anderson
Mrs. Erica Martinez,1946-09-27T13:34:05.314,180,14.6685,Deborah Jones|Matthew Jones|Sarah Mullins|Kimberly Ellis|Christopher Cook|Stephanie Miranda|Shawn Williams|Richard Bryant|Joseph Thompson|James Bishop|Stacey Hernandez|Carl Gomez|Brooke Williams
Molly Miller,1961-06-18T13:34:06.067,158,13.723871,Tristan Romero|Robert Nunez|Heather Fisher|Alejandra Middleton|Alejandra Middleton|Morgan Wade|Sarah Villarreal|Carlos Thomas|Richard Bryant|Mrs. Darlene Anderson|Michael Gonzales
Melanie Griffin,1959-10-08T13:34:05.551,180,14.409333,Diane Atkins|Jamie Willis|Tiffany Solomon
Cynthia Solomon,1965-06-25T13:34:05.021,173,15.222793,Gregory Harper|Suzanne Wilson|Traci Smith|Becky Mcgee|Taylor Dougherty|Stacey Hernandez|Robert Padilla|Mrs. Deanna Washington DVM|Kristen Pierce|Michael Baker|Jennifer Rodriguez|Jamie Willis
Hannah Berry,1916-04-05T13:34:05.767,180,14.786994,Deborah Jones|Matthew Morgan|Stephanie Miranda|Tristan Romero|John Ward|Stephanie Miranda|April Brown|Michael Baker
Robert Warren,1952-10-09T13:34:05.477,40,16.191046,Diane Atkins|Carl Gomez|David Johnson|Jill Lawrence|Ann Wallace|Andrew Cross|Mrs. Deanna Washington DVM|Angelica Henry
Alan Miller,2009-12-20T13:34:02.230,5,0.0,Andrew Cross|Adam Anderson|Sarah Villarreal|Rachel Wu|Gregory Harper|Cristian Adams|Jorge Jackson
Keith Phelps,1936-10-13T13:34:02.562,150,14.598528,Deborah Jones|David Wallace|Morgan Wade|Brittany Jackson|Michael Gonzales|Jerry Johnson
Jessica Harris,1953-09-17T13:34:02.261,62,15.29471,Angelica Henry|Diane Atkins|Jessica King|Carl Gomez|Stacey Hernandez|Carlos Thomas|Diana Hamilton
Bryan Finley,1961-12-09T13:34:02.471,53,14.583295,Brandi Patton|Kristen Pierce|Jamie Willis|David Johnson|Jordan Humphrey|Stacey Hernandez|Anna Page
Holly Anderson,1963-01-10T13:34:02.817,133,13.504525,Kristen Pierce|Brandi Patton|Carly Lawrence|Stephanie Miranda|Kyle Garcia|Stacey Hernandez|Angelica Henry|Richard Bryant|Paul Schaefer
Brenda Williams,1930-01-10T13:34:02.913,180,15.234145,Sarah Villarreal|Brianna Pena|Joel Hammond|Chad Wood|Victoria Brady|Becky Mcgee|Jerry Johnson|Scott Collins|Mrs. Deanna Washington DVM|John Ward
Julia Francis,1994-05-09T13:34:03.072,81,13.407183,Karen Rodriguez|Kyle Garcia|Jessica King|Carlos Thomas|Paul Schaefer|David Wallace|Jennifer Rodriguez|Richard Bryant|David Larsen|Chad Wood|Joshua Hill|Diane Atkins|Heather Fisher|Joseph Krause|Diana Hamilton
Kimberly Cannon,1931-09-07T13:34:03.572,39,14.61058,Heather Fisher|Stephanie Miranda|Carrie Santos|Richard Bryant|Erin Douglas
Dennis Walker,1961-08-15T13:34:03.019,119,14.090271,Deborah Jones|Jerry Johnson|Mario Green|Carrie Santos|Stephanie Miranda|Heather Elliott|Brandi Patton|Stacey Hernandez
James Wheeler,1907-10-01T13:34:03.867,76,15.215664,Anthony Walsh|Diane Atkins|Theodore Reyes|Angelica Henry|Mrs. Darlene Anderson|Rhonda Bowman|Kimberly Ellis|Carlos Thomas|Michael Gonzales|Jordan Wallace|Karen Tran|David Wallace|Diana Hamilton|Heather Fisher|Suzanne Wilson|Carl Gomez
Matthew Rose,1913-07-16T13:34:05.969,89,14.595812,Elizabeth Castaneda|Kimberly Ellis|Richard Bryant
Cynthia Hunt,1959-06-19T13:34:02.317,10,10.864236,David Johnson|Angelica Henry|Alejandra Middleton|Matthew Jones
Maria Reese,2002-01-08T13:34:02.358,180,14.256658,Paul Schaefer|Mary Becker|Robert Padilla|Kenneth Alexander MD|Matthew Jones|Erin Douglas
Benjamin Wilson,1960-04-15T13:34:02.782,142,14.872487,Heather Fisher|Tiffany Solomon|Diana Hamilton
Matthew Barnes,1904-03-24T13:34:02.275,70,13.173907,Joseph Thompson|Erin Douglas|Shirley Scott|Stephanie Miranda|Anthony Walsh|Mary Becker
Tricia Gibbs,1918-03-12T13:34:06.095,34,16.284756,Kyle Garcia|David Wallace|Lisa Thomas|Mrs. Darlene Anderson|John Ward|Stacey Hernandez|Paul Schaefer|Traci Smith|Jordan Wallace|Christopher Cook|Jerry Johnson|Donna Harris|Diane Atkins
Julie Sheppard,1971-02-08T13:34:02.669,67,14.801533,Lisa Thomas|Robert Padilla|Jorge Jackson|Alejandra Middleton|Kimberly Ellis|Jill Lawrence
Angela Perkins,1977-04-30T13:34:03.296,74,15.1341505,Anthony Walsh|Deborah Jones|Diane Atkins|Chad Wood
Daniel Parker,1966-10-01T13:34:02.618,180,14.495769,David Johnson|Kimberly Ellis|Francis Hahn|Rachel Wu|Mrs. Darlene Anderson|Traci Smith
David Johnson,1924-05-24T13:34:03.164,30,14.090963,Gregory Harper|Carl Gomez|Diane Atkins|Gail Alexander|Stacey Hernandez|Mario Green|Brandi Patton|Shirley Scott|Mary Becker
Sergio Norton,1968-04-14T13:34:03.793,180,15.463253,Sarah Villarreal|Jorge Jackson|Sarah Villarreal|Gail Alexander|David Larsen|Carrie Santos
Bruce Dillon,1944-01-31T13:34:04.101,141,14.570343,Mrs. Darlene Anderson|Christopher Cook|Michael Gonzales|David Johnson|Stephanie Miranda
Robert Johnson,1921-07-25T13:34:04.148,180,14.56657,Karen Tran|James Bishop|Gail Alexander|Brandi Patton|Shirley Scott|Ann Wallace|Theodore Reyes|Alejandra Middleton|Carly Lawrence|Jessica King
Gina Evans,1941-03-22T13:34:04.182,72,15.074791,Joseph Krause|Rachel Wu|Joshua Hill|Sarah Mullins|Troy Robinson|Sarah Villarreal|Lisa Thomas
Shannon Molina,2009-03-23T13:34:04.221,180,15.013342,Traci Smith|Michael Gonzales|Mary Becker|Mrs. Darlene Anderson|Gail Alexander|Mrs. Deanna Washington DVM|Donna Harris|Stephanie Miranda|James Bishop|Matthew Morgan|Jessica King
Katie Fitzpatrick,1913-11-27T13:34:04.664,180,14.197259,Diane Atkins|Heather Elliott|Carl Gomez|Gregory Harper|Kristen Pierce|Diane Atkins|Victoria Brady|Tiffany Solomon
Katie Andrews,1975-01-23T13:34:04.462,164,15.860771,Michael Gonzales|Kimberly Ellis|Karen Rodriguez|Cristian Adams|Ricardo Weber|Theodore Reyes|Andrew Cross
