name,birthdate,credits,gpa
Jennifer Singleton,1936-05-04T13:34:03.630,175,13.67813
Cynthia Solomon,1965-06-25T13:34:05.021,173,15.222793
Katie Andrews,1975-01-23T13:34:04.462,164,15.860771
Brian Hall,1906-05-03T13:34:03.679,161,13.704901
Molly Miller,1961-06-18T13:34:06.067,158,13.723871
Scott Collins,1960-05-01T13:34:03.248,154,15.755122
Keith Phelps,1936-10-13T13:34:02.562,150,14.598528
Sabrina Moore,1988-10-23T13:34:05.438,150,13.665391
Jesse Patterson,1974-06-24T13:34:04.711,149,14.28019
Jane Anderson,1993-08-12T13:34:05.592,149,14.589977
Mary Lewis,1969-05-20T13:34:02.292,143,14.254433
Benjamin Wilson,1960-04-15T13:34:02.782,142,14.872487
Bethany Munoz,1930-07-07T13:34:05.057,142,15.109398
Bruce Dillon,1944-01-31T13:34:04.101,141,14.570343
Victoria Brady,1983-05-30T13:34:03.832,139,14.628733
Holly Anderson,1963-01-10T13:34:02.817,133,13.504525
Antonio Lopez,1993-05-16T13:34:03.484,120,15.409162
